,,,,,Games,,Passing,,,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
1,Tua Tagovailoa*,MIA,25,QB,17,17,388,560,4624,29,2.1,116,39,27,95,15.70%,15,5.3
2,Mac Jones,NWE,25,QB,11,11,224,345,2120,22,2.2,92,30,24,76,20.10%,11,7.3
3,Joe Burrow,CIN,27,QB,10,10,244,365,2309,24,2.2,83,13,37,74,18.40%,14,6.5
4,Trevor Lawrence,JAX,24,QB,16,16,370,564,4016,35,2.2,158,39,42,116,18.10%,42,7.9
5,Desmond Ridder,ATL,24,QB,15,13,249,388,2836,31,2.3,90,26,28,85,19.40%,19,6.8
6,Derek Carr,NOR,32,QB,17,17,375,548,3878,31,2.3,172,24,35,90,15.30%,9,5.7
7,Josh Allen,BUF,27,QB,17,17,385,579,4306,24,2.3,181,51,51,126,19.30%,50,7.6
8,Jared Goff,DET,29,QB,17,17,407,605,4575,30,2.3,212,42,69,141,22.00%,7,4.4
9,Kyler Murray,ARI,26,QB,8,8,176,268,1799,18,2.4,73,20,19,57,18.80%,18,9.6
10,Kenny Pickett,PIT,25,QB,12,12,201,324,2070,23,2.4,81,33,37,93,25.80%,14,5.1
11,Aidan O'Connell,LVR,25,QB,11,10,213,343,2218,24,2.4,101,7,22,53,14.40%,0,
12,Justin Herbert,LAC,25,QB,13,13,297,456,3134,29,2.4,158,36,42,107,20.90%,27,8.4
13,Gardner Minshew II*,IND,27,QB,17,13,305,490,3305,34,2.4,169,32,30,96,17.60%,20,5.5
14,Geno Smith*,SEA,33,QB,15,15,323,499,3624,31,2.4,145,63,46,140,25.50%,20,7.9
15,Sam Howell,WAS,23,QB,17,17,388,612,3946,65,2.4,181,39,57,161,22.70%,33,7.4
16,Baker Mayfield*,TAM,28,QB,17,17,364,566,4044,40,2.4,141,37,35,112,17.60%,29,5.9
17,Dak Prescott*,DAL,30,QB,17,17,410,590,4516,39,2.4,163,26,47,112,17.00%,28,6.9
18,Will Levis,TEN,24,QB,9,9,149,255,1808,28,2.5,88,8,46,82,28.10%,9,6.3
19,Jake Browning,CIN,27,QB,9,7,171,243,1936,24,2.5,80,25,26,75,26.50%,16,7.7
20,Zach Wilson,NYJ,24,QB,12,11,221,368,2271,46,2.5,113,47,41,134,30.50%,25,8.6
21,Kirk Cousins,MIN,35,QB,8,8,216,311,2331,17,2.5,106,21,45,83,25.10%,3,7
22,Bryce Young,CAR,22,QB,16,16,315,527,2877,62,2.5,166,38,50,150,24.20%,31,8.4
23,Matthew Stafford*,LAR,35,QB,15,15,326,521,3965,30,2.5,172,27,43,100,17.70%,13,5.5
24,C.J. Stroud*,HOU,22,QB,15,15,319,499,4108,38,2.5,126,47,38,123,22.00%,23,6.4
25,Jordan Love,GNB,25,QB,17,17,372,579,4159,30,2.5,215,47,42,119,18.80%,24,8.5
26,Patrick Mahomes*,KAN,28,QB,16,16,401,597,4183,27,2.5,133,60,65,152,22.60%,50,8.1
27,Jalen Hurts*,PHI,25,QB,17,17,352,538,3858,36,2.6,185,59,29,124,20.00%,47,6.8
28,Brock Purdy*,SFO,24,QB,16,16,308,444,4280,28,2.6,142,28,42,98,20.10%,16,7.8
29,Russell Wilson,DEN,35,QB,15,15,297,447,3070,45,2.7,144,42,48,135,25.50%,38,7.3
30,Lamar Jackson*+,BAL,26,QB,16,16,307,457,3678,37,2.7,169,22,29,88,15.70%,65,6.4
31,Justin Fields,CHI,24,QB,13,13,227,370,2562,44,2.8,143,44,33,121,26.50%,43,8.4
32,Joshua Dobbs,2TM,28,QB,13,12,262,417,2464,30,,121,23,58,111,23.00%,36,9.2
